<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
anberaumet	w11_d501e20618
wor	w13_d501e20622
den.	w1_d501e20627
Dahero	w3_d501e20630
dann	w5_d501e20633
der	w7_d501e20636
oder	w9_d501e20639
diejenige,	w11_d501e20642
welche	w13_d501e20646
von	w1_d501e20651
denen	w3_d501e20654
obspecificirten	w5_d501e20657
Zeug=waaren	w7_d501e20660
etwas	w9_d501e20663
käuflichen	w1_d501e20669
an	w3_d501e20672
sich	w5_d501e20675
zu	w7_d501e20678
bringen	w9_d501e20681
gesinnet	w11_d501e20684
seynd,	w13_d501e20688
an	w15_d501e20691
vorbesagten	w1_d501e20696
Tag,	w3_d501e20699
Stund	w5_d501e20702
und	w7_d501e20705
Ort	w9_d501e20708
sich	w11_d501e20711
unaus	w13_d501e20715
bleiblich	w1_d501e20720
Ad	w3_d501e20723
licitandum	w5_d501e20726
einzufinden	w7_d501e20729
haben	w9_d501e20732
werden.	w11_d501e20735
</p>
<p id="p24_d501e20739">
Wir	w1_d501e20743
Eudes	w3_d501e20746
Gefertigte,	w5_d501e20749
von	w7_d501e20752
einem	w9_d501e20755
Löbl.	w11_d501e20758
Land	w13_d501e20762
marschallischen	w1_d501e20767
Gericht	w3_d501e20770
verordnete	w5_d501e20773
Commissarien,	w7_d501e20776
fügen	w1_d501e20781
N.	w3_d501e20784
allen	w5_d501e20787
und	w7_d501e20790
jeden,	w9_d501e20793
so	w11_d501e20796
an	w13_d501e20800
weil.	w15_d501e20803
Mariä	w17_d501e20806
Susanä	w1_d501e20812
Egelmayrin,	w3_d501e20815
zu	w5_d501e20818
Crems	w7_d501e20821
gebürtig,	w9_d501e20824
bey	w11_d501e20827
(Titl.)	w1_d501e20832
Herrn	w3_d501e20835
von	w5_d501e20838
Wenighofen	w7_d501e20841
gewesten	w9_d501e20844
Wirt	w11_d501e20847
schafterin	w1_d501e20852
seel.	w3_d501e20855
Verlassenschafts=schulden,	w5_d501e20858
oder	w7_d501e20861
Erbschafts=halber	w1_d501e20866
Sprüch	w3_d501e20869
und	w5_d501e20872
Anforderungen	w7_d501e20875
haben,	w1_d501e20881
oder	w3_d501e20884
zu	w5_d501e20887
haben	w7_d501e20890
vermeinen,	w9_d501e20893
hiemit	w11_d501e20896
zu	w13_d501e20900
wis	w15_d501e20903
sen:	w1_d501e20908
welcher=gestalten	w3_d501e20911
wir	w5_d501e20914
auf	w7_d501e20917
Anlangen	w9_d501e20920
des	w11_d501e20923
ge	w13_d501e20927
richtlich	w1_d501e20932
verordneten	w3_d501e20935
Egelmayrischen	w5_d501e20938
Curatoris	w7_d501e20941
Herrn	w1_d501e20946
Doctoris	w3_d501e20949
von	w5_d501e20952
Grueber,	w7_d501e20955
und	w9_d501e20958
hierüber	w11_d501e20961
an	w13_d501e20965
uns	w1_d501e20971
ergangene	w3_d501e20974
gerichtliche	w5_d501e20977
Auflag	w7_d501e20980
eine	w9_d501e20983
perempto	w11_d501e20986
rie	w1_d501e20991
clausulirte	w3_d501e20994
Convocations=tagsatzung	w5_d501e20997
auf	w7_d501e21000
den	w9_d501e21003
18.	w1_d501e21008
Decemb.	w3_d501e21011
dies	w5_d501e21014
Jahrs	w7_d501e21017
Nachmittags	w9_d501e21020
um	w11_d501e21023
2.	w13_d501e21027
Uhr	w15_d501e21030
in	w1_d501e21035
mein	w3_d501e21038
Land=schreibers	w5_d501e21041
in	w7_d501e21044
der	w9_d501e21047
Wald=zeil	w11_d501e21050
im	w13_d501e21054
Hartenbergischen	w1_d501e21060
Haus	w3_d501e21063
im	w5_d501e21066
zweyten	w7_d501e21069
Stock	w9_d501e21072
haben	w11_d501e21075
den	w1_d501e21080
Wohnung	w3_d501e21083
zu	w5_d501e21086
erscheinen,	w7_d501e21089
pro	w9_d501e21092
primo,	w11_d501e21095
secun-	w13_d501e21099
do	w1_d501e21104
,tertis	w3_d501e21107
&	w5_d501e21110
ultimo	w7_d501e21113
Termino	w9_d501e21116
bestimmet	w11_d501e21119
haben.	w13_d501e21123
Solchemnach	w1_d501e21128
werden	w3_d501e21131
alle	w5_d501e21134
und	w7_d501e21137
jede	w9_d501e21140
Jntereßirte,	w11_d501e21143
Schulden,	w1_d501e21149
oder	w3_d501e21152
Erbschafts=halber	w5_d501e21155
Sprüch	w7_d501e21158
und	w9_d501e21161
Anforderungen	w1_d501e21166
haben,	w3_d501e21169
oder	w5_d501e21172
zu	w7_d501e21175
haben	w9_d501e21178
vermei	w11_d501e21181
nen,	w1_d501e21186
an	w3_d501e21189
obbemeldtem	w5_d501e21192
Tag,	w7_d501e21195
Stund	w9_d501e21198
und	w11_d501e21201
Ort	w13_d501e21205
</p>
<p id="p26_d501e21208">
also	w1_d501e21212
gewiß	w3_d501e21215
persönlich,	w5_d501e21218
oder	w7_d501e21221
durch	w9_d501e21224
genugsam	w11_d501e21227
Ge	w13_d501e21231
vollmächtigte	w1_d501e21236
erscheinen,	w3_d501e21239
ihre	w5_d501e21242
Sprüch	w7_d501e21245
anmel	w9_d501e21248
den,	w1_d501e21253
und	w3_d501e21256
zugleich	w5_d501e21259
behörig	w7_d501e21262
liquidiren;	w9_d501e21265
wie	w11_d501e21268
im	w13_d501e21272
widrigen	w1_d501e21278
die	w3_d501e21281
Abhandlung	w5_d501e21284
vorgenommen,	w7_d501e21287
hierü	w9_d501e21290
ber	w1_d501e21295
ex	w3_d501e21298
officio	w5_d501e21301
relationiret,	w7_d501e21304
denen	w9_d501e21307
Ausbleibenden	w11_d501e21310
aber	w1_d501e21315
das	w3_d501e21318
ewige	w5_d501e21321
Stillschweigen	w7_d501e21324
auferleget	w9_d501e21327
werden	w11_d501e21330
solle.	w1_d501e21335
</p>
<p id="p30_d501e21392">
Wir	w1_d501e21396
Endes	w3_d501e21399
Gefertigte,	w5_d501e21402
von	w7_d501e21405
einem	w9_d501e21408
Löbl.	w11_d501e21411
Land	w13_d501e21415
marschallischen	w1_d501e21420
Gericht	w3_d501e21423
verordnete	w5_d501e21426
Commissarien,	w7_d501e21429
fügen	w1_d501e21434
N.	w3_d501e21437
allen	w5_d501e21440
und	w7_d501e21443
jeden,	w9_d501e21446
so	w11_d501e21449
an	w13_d501e21453
weil.	w15_d501e21456
Frauen	w17_d501e21459
Mariä	w1_d501e21465
Rosinä	w3_d501e21468
von	w5_d501e21471
Laglberg,	w7_d501e21474
gebornen	w9_d501e21477
Freyin	w11_d501e21480
von	w1_d501e21485
Leisser,	w3_d501e21488
seel.	w5_d501e21491
Verlassenschaft	w7_d501e21494
Sprüch	w9_d501e21497
und	w11_d501e21500
An	w13_d501e21504
forderungen	w1_d501e21509
haben,	w3_d501e21512
oder	w5_d501e21515
zu	w7_d501e21518
haben	w9_d501e21521
vermeinen,	w11_d501e21524
hiemit	w1_d501e21529
zu	w3_d501e21532
vernehmen:	w5_d501e21535
welcher=gestalten	w7_d501e21538
wir	w9_d501e21541
auf	w11_d501e21544
Anlangen	w1_d501e21550
des	w3_d501e21553
gerichtlich	w5_d501e21556
verordnet	w7_d501e21559
Frey=herrl.	w9_d501e21562
Laglbergischen	w1_d501e21567
Curatoris	w3_d501e21570
ad	w5_d501e21573
lites	w7_d501e21576
Herrn	w9_d501e21579
Doctoris	w11_d501e21582
Lang,	w1_d501e21587
und	w3_d501e21590
hierüber	w5_d501e21593
an	w7_d501e21596
uns	w9_d501e21599
ergangene	w11_d501e21602
gerichtliche	w13_d501e21606
Austag	w1_d501e21611
eine	w3_d501e21614
peremptorie	w5_d501e21617
clausulirte	w7_d501e21620
Convocations	w9_d501e21623
tagsatzung	w1_d501e21629
auf	w3_d501e21632
den	w5_d501e21635
23.	w7_d501e21638
Decemb.	w9_d501e21641
dies	w11_d501e21644
Jahrs	w13_d501e21648
Nach	w15_d501e21651
mittags	w1_d501e21656
um	w3_d501e21659
2.	w5_d501e21662
Uhr	w7_d501e21665
in	w9_d501e21668
mein	w11_d501e21671
Land=schreibers	w13_d501e21675
im	w15_d501e21678
Hartenbergischen	w1_d501e21683
Haus	w3_d501e21686
in	w5_d501e21689
der	w7_d501e21692
Wald=zeil	w9_d501e21695
im	w11_d501e21698
zwey	w13_d501e21702
ten	w1_d501e21707
Stock	w3_d501e21710
habenden	w5_d501e21713
Wohnung	w7_d501e21716
zu	w9_d501e21719
erscheinen	w11_d501e21722
pro	w13_d501e21726
primo,	w1_d501e21732
secundo,	w3_d501e21735
tertio	w5_d501e21738
ac	w7_d501e21741
ultimo	w9_d501e21744
termino	w11_d501e21747
be	w13_d501e21751
stimmet	w1_d501e21756
haben.	w3_d501e21759
Solchemnach	w5_d501e21762
werden	w7_d501e21765
alle	w9_d501e21768
und	w11_d501e21771
jede,	w1_d501e21776
so	w3_d501e21779
an	w5_d501e21782
obbemeldt=Laglbergischen	w7_d501e21785
Verlassen	w9_d501e21788
schaft	w1_d501e21793
Sprüch	w3_d501e21796
und	w5_d501e21799
Anforderungen	w7_d501e21802
haben,	w9_d501e21805
oder	w11_d501e21808
zu	w1_d501e21814
haben	w3_d501e21817
vermeinen,	w5_d501e21820
an	w7_d501e21823
obgedachten	w9_d501e21826
Tag,	w11_d501e21829
Stund	w13_d501e21833
und	w1_d501e21838
Ort	w3_d501e21841
also	w5_d501e21844
gewiß	w7_d501e21847
persönlich,	w9_d501e21850
oder	w11_d501e21853
durch	w13_d501e21857
ge	w15_d501e21860
nugsam	w1_d501e21865
Gevollmächtigte	w3_d501e21868
erscheinen,	w5_d501e21871
ihre	w7_d501e21874
Spruch	w9_d501e21877
anmelden,	w1_d501e21882
und	w3_d501e21885
zugleich	w5_d501e21888
behörig	w7_d501e21891
liquidiren,	w9_d501e21894
als	w11_d501e21897
im	w1_d501e21903
widrigen	w3_d501e21906
die	w5_d501e21909
Anwesende	w7_d501e21912
mit	w9_d501e21915
dem	w11_d501e21918
Herrn	w13_d501e21922
Cu-	w15_d501e21925
rotore	w1_d501e21930
ad	w3_d501e21933
lites	w5_d501e21936
vernommen,	w7_d501e21939
hierüber	w9_d501e21942
ex	w11_d501e21945
officio	w13_d501e21949
relationiret,	w1_d501e21954
denen	w3_d501e21957
Ausbleibenden	w5_d501e21960
aber	w7_d501e21963
das	w9_d501e21966
ewige	w11_d501e21969
Stillschweigen	w1_d501e21974
auferleget	w3_d501e21977
werden	w5_d501e21980
solle.	w7_d501e21983
</p>
<list id="l34_d501e22040">
Es	w1_d501e22044
ist	w3_d501e22047
zu	w5_d501e22050
finden	w7_d501e22053
bey	w9_d501e22056
Jgnatz	w11_d501e22059
Scheucher	w13_d501e22063
Burgerl.	w15_d501e22066
Buchhinder	w1_d501e22071
allhier:	w3_d501e22074
P.	w1_d501e22079
Aut.	w3_d501e22082
Erber	w5_d501e22085
Theologia	w7_d501e22088
speculativa	w9_d501e22091
in	w11_d501e22094
8vo.	w13_d501e22098
8.	w1_d501e22104
Tom.	w3_d501e22107
ungebunden	w5_d501e22110
das	w7_d501e22113
Exemplar	w9_d501e22116
pr.	w11_d501e22119
6.	w13_d501e22123
fl.,	w15_d501e22126
ge	w17_d501e22129
bunden	w1_d501e22134
8.	w3_d501e22137
fl.	w5_d501e22140
16.	w7_d501e22143
kr.	w9_d501e22146
Deto	w1_d501e22151
P.	w3_d501e22154
Ant.	w5_d501e22157
Erber	w7_d501e22160
Cursus	w9_d501e22163
Phllosophicus	w11_d501e22166
in	w13_d501e22170
3.	w1_d501e22175
Tom.	w3_d501e22178
ungebnd.	w5_d501e22181
1.	w7_d501e22184
fl	w9_d501e22187
30.	w11_d501e22190
kr.	w13_d501e22194
gebund.	w15_d501e22197
2.	w17_d501e22200
fl.	w19_d501e22203
21.	w21_d501e22206
kr.	w23_d501e22209
Deto	w1_d501e22215
des	w3_d501e22218
P	w5_d501e22221
Erber	w7_d501e22224
Dialectica	w9_d501e22227
ungebund.	w11_d501e22230
7.	w13_d501e22234
kr.	w15_d501e22237
Jtem	w1_d501e22242
des	w3_d501e22245
Frœlichiani	w5_d501e22248
Anales	w7_d501e22251
Syriæ	w9_d501e22254
adversus	w11_d501e22257
Gottliebii	w1_d501e22262
Wernsdorsii	w3_d501e22265
ungebund.	w5_d501e22268
20.	w7_d501e22271
kr.	w9_d501e22274
</list>
</doc>
