<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
bleßirte	w8941
Gemeine	w8942
<g/>
,
nebst	w8944
2	w8945
<g/>
.
Officiers	w8947
<g/>
,
und	w8949
36	w8950
<g/>
.
Gesunden	w8952
gefangen	w8953
genommen	w8954
<g/>
.
</p>
<p id="p85">
Der	w8956
General	w8957
<g/>
=
major	w8959
Graf	w8960
Tottleben	w8961
<g/>
,
hat	w8963
mir	w8964
bezeuget	w8965
<g/>
,
daß	w8967
der	w8968
Brigadier	w8969
Kräsnoschtschockow	w8970
<g/>
,
desgleichen	w8972
die	w8973
Cosacken	w8974
<g/>
=
obristen	w8976
Popow=datschkin	w8977
<g/>
=
<g/>
,
und	w8980
Luckowkin	w8981
<g/>
,
ferner	w8983
die	w8984
Hussaren	w8985
<g/>
=
obristen	w8987
Soritsch	w8988
<g/>
,
und	w8990
Knäs	w8991
Amilochorow	w8992
eine	w8993
besondere	w8994
Tapferkeit	w8995
bewiesen	w8996
<g/>
.
</p>
<p id="p86">
Was	w8998
unseren	w8999
Verlust	w9000
betrift	w9001
<g/>
,
so	w9003
ist	w9004
derselbe	w9005
viel	w9006
geringer	w9007
<g/>
,
als	w9009
ich	w9010
Anfangs	w9011
habe	w9012
vermuten	w9013
können	w9014
<g/>
.
Von	w9016
Generals	w9017
ist	w9018
keiner	w9019
geblieben	w9020
<g/>
,
nur	w9022
seynd	w9023
die	w9024
General	w9025
<g/>
=
leutenants	w9027
Fürst	w9028
Golizin	w9029
<g/>
,
Oliz	w9031
<g/>
,
und	w9033
Prinz	w9034
Lobo=mirsky	w9035
<g/>
=
bleßiret	w9037
<g/>
;
obgleich	w9039
ihre	w9040
Wunden	w9041
gar	w9042
nicht	w9043
gefährlich	w9044
<g/>
,
so	w9046
wäre	w9047
es	w9048
doch	w9049
zu	w9050
bedauren	w9051
<g/>
,
wann	w9053
sie	w9054
nicht	w9055
gleich	w9056
wieder	w9057
Dienste	w9058
thun	w9059
könten	w9060
<g/>
.
Die	w9062
Brigadiers	w9063
Essen	w9064
<g/>
,
Lübel	w9066
<g/>
,
und	w9068
Bachmann	w9069
seynd	w9070
auch	w9071
nur	w9072
leicht	w9073
verwun=det	w9074
<g/>
=
<g/>
.
Von	w9077
Stabs	w9078
<g/>
=
officieren	w9080
ist	w9081
nur	w9082
der	w9083
einige	w9084
Obriste	w9085
Budberg	w9086
vom	w9087
5ten	w9088
Musquetier	w9089
<g/>
=
regiment	w9091
todt	w9092
<g/>
.
Von	w9094
denen	w9095
übrigen	w9096
sowol	w9097
Todten	w9098
<g/>
,
als	w9100
Bles=sirten	w9101
<g/>
=
übersende	w9103
ich	w9104
hierbey	w9105
die	w9106
Liste	w9107
<g/>
.
</p>
<p id="p87">
Wir	w9109
zehlen	w9110
überhaupt	w9111
an	w9112
Todten	w9113
nur	w9114
2614	w9115
<g/>
.
Mann	w9117
vom	w9118
Vorneh=sten	w9119
<g/>
=
bis	w9121
zum	w9122
Geringsten	w9123
<g/>
.
Dagegen	w9125
ist	w9126
die	w9127
Zahl	w9128
deren	w9129
Verwundeten	w9130
sehr	w9131
groß	w9132
<g/>
,
und	w9134
belauft	w9135
sich	w9136
auf	w9137
10863	w9138
<g/>
.
Mann	w9140
<g/>
,
jedoch	w9142
haben	w9143
sehr	w9144
viele	w9145
darun=ter	w9146
<g/>
=
so	w9148
leichte	w9149
Wunden	w9150
<g/>
,
daß	w9152
sie	w9153
schon	w9154
würklich	w9155
wieder	w9156
Dienste	w9157
thun	w9158
<g/>
,
und	w9160
viele	w9161
andere	w9162
werden	w9163
auch	w9164
bald	w9165
wieder	w9166
hergestellt	w9167
seyn	w9168
können	w9169
<g/>
.
</p>
<p id="p88">
Feindlicher	w9171
Seits	w9172
seynd	w9173
7627	w9174
<g/>
.
Todte	w9176
auf	w9177
der	w9178
Wahl	w9179
<g/>
=
stadt	w9181
begra=ben	w9182
<g/>
=
<g/>
,
und	w9185
4542	w9186
<g/>
.
Mann	w9188
zu	w9189
Gefangenen	w9190
gemacht	w9191
worden	w9192
<g/>
,
unter	w9194
diesen	w9195
Letzteren	w9196
befinden	w9197
sich	w9198
2	w9199
<g/>
.
Obrist	w9201
<g/>
=
leutenants	w9203
<g/>
,
1	w9205
<g/>
.
Major	w9207
<g/>
,
8	w9209
<g/>
.
Capitains	w9211
<g/>
,
1	w9213
<g/>
.
Ritt	w9215
<g/>
=
meister	w9217
<g/>
,
7	w9219
<g/>
.
Leutenants	w9221
<g/>
,
10	w9223
<g/>
.
Second	w9225
<g/>
=
leutenants	w9227
<g/>
,
15	w9229
<g/>
.
Fähnrichs	w9231
<g/>
,
</p>
<p id="p89">
und	w9234
Cornets	w9235
<g/>
,
und	w9237
121	w9238
<g/>
.
Unter	w9240
<g/>
=
officiers	w9242
<g/>
.
An	w9244
Deserteurs	w9245
haben	w9246
wir	w9247
2055	w9248
<g/>
.
Mann	w9250
<g/>
,
allein	w9252
diese	w9253
Anzahl	w9254
ist	w9255
gegen	w9256
der	w9257
grossen	w9258
Menge	w9259
<g/>
,
die	w9261
sich	w9262
nach	w9263
Poh=len	w9264
<g/>
=
<g/>
,
und	w9267
anderen	w9268
Gegenden	w9269
verloffen	w9270
hat	w9271
<g/>
,
für	w9273
nichts	w9274
zu	w9275
achten	w9276
<g/>
.
</p>
<p id="p90">
Bey	w9278
dem	w9279
Corps	w9280
des	w9281
Herrn	w9282
General	w9283
<g/>
=
leutenants	w9285
Baron	w9286
von	w9287
Lou=don	w9288
<g/>
=
seynd	w9290
an	w9291
Todten	w9292
und	w9293
Vermisseten	w9294
893	w9295
<g/>
.
<g/>
,
und	w9298
an	w9299
Verwundeten	w9300
1398	w9301
<g/>
.
Mann	w9303
<g/>
,
dagegen	w9305
hat	w9306
derselbe	w9307
5	w9308
<g/>
.
Fahnen	w9310
und	w9311
6	w9312
<g/>
.
Canonen	w9314
erbeutet	w9315
<g/>
,
und	w9317
252	w9318
<g/>
.
Mann	w9320
<g/>
,
worunter	w9322
4	w9323
<g/>
.
Officiers	w9325
<g/>
,
gefangen	w9327
genommen	w9328
<g/>
.
Auch	w9330
ha=ben	w9331
<g/>
=
sich	w9333
bey	w9334
diesem	w9335
Corps	w9336
345	w9337
<g/>
.
Deserteurs	w9339
gemeldet	w9340
<g/>
.
</p>
<p id="p91">
Es	w9342
folget	w9343
hiebey	w9344
eine	w9345
besondere	w9346
Liste	w9347
deren	w9348
eroberten	w9349
Sieges	w9350
<g/>
=
zeichen	w9352
<g/>
,
und	w9354
übrigen	w9355
gemachten	w9356
Beute	w9357
<g/>
.
</p>
<head id="hl27">
Lista	w9359
<g/>
,
Was	w9361
an	w9362
Sieges	w9363
<g/>
=
zeichen	w9365
vom	w9366
Feinde	w9367
erobert	w9368
<g/>
,
auch	w9370
sonst	w9371
erbeutet	w9372
worden	w9373
<g/>
.
</head>
<head id="hl28">
Canonen	w9393
<g/>
,
ausser	w9395
dem	w9396
<g/>
,
was	w9398
die	w9399
Oesterreicher	w9400
erobert	w9401
haben	w9402
<g/>
.
</head>
<head id="hl29">
Artillerie	w9473
<g/>
=
gerätschaft	w9475
in	w9476
denenselben	w9477
<g/>
.
</head>
<head id="hl30">
Recapitulation	w9655
Deren	w9656
unserer	w9657
Seits	w9658
sowol	w9659
todt	w9660
<g/>
=
gebliebenen	w9662
als	w9663
auch	w9664
vermisseten	w9665
und	w9666
verwundeten	w9667
Officieren	w9668
<g/>
.
</head>
<head id="hl31">
Todte	w9670
<g/>
.
</head>
<head id="hl32">
Vermißte	w9708
<g/>
.
</head>
<head id="hl33">
Gefährlich	w9743
Bleßirte	w9744
<g/>
.
</head>
<head id="hl34">
Leicht	w9801
<g/>
=
bleßirte	w9803
<g/>
.
</head>
</doc>
